iteration,change,latency_ms,decision,report,revision
0,Current shipped (fused-norm),61.253,start,measurements/000.json,ef798e0
1,Packed expert q/k/v and gate/up GEMMs + grouped attention,55.494,keep,measurements/001.json,ef798e0+packed-projections
2,Target-owned denoising loop with a resident key/value cache,48.969,keep,measurements/002.json,ef798e0+expert-loop
3,Fused CUDA projection epilogue (widen + RoPE + cache write),42.267,keep,measurements/003.json,ef798e0+fused-rope
4,Head-major cache with fused CUDA softmax and attention epilogue,37.300,keep,measurements/004.json,ef798e0+fused-attention
5,Target-owned backbone prefix pass on the same kernels,34.983,keep,measurements/005.json,ef798e0+fused-prefix
6,Width-aligned packed vision feed-forward,31.739,keep,measurements/006-aligned-vision.json,ef798e0+aligned-vision
7,Single-launch vision RMSNorm,32.339,keep,measurements/007-vision-norm.json,ef798e0+vision-norm
8,AdaRMS absorbing its residual add and a fused gated activation,29.799,keep,measurements/008-fused-mlp.json,ef798e0+fused-mlp
9,Fused pointwise and packed gated projection in the backbone,29.806,keep,measurements/009-fused-backbone.json,ef798e0+fused-backbone
10,Fused flash-form attention kernel,201.797,revert,measurements/010-attention-kernel.json,ef798e0+attention-kernel
